name,10,9,8,7,6,5,4,3,2,1
layers16_dim576_epochs1,1.92421,1.89914,1.91566,1.89248,1.84005,1.74314,1.89068,1.74817,1.82076,1.91476
layers16_dim576_epochs2,1.52350,1.79921,1.68849,1.79517,1.73811,1.74850,1.75269,1.73625,1.89374,1.54923
layers16_dim576_epochs3,1.69888,1.65376,1.53152,1.66556,1.79024,1.83836,1.78932,1.68700,1.80178,1.65271
layers16_dim576_epochs4,1.68065,1.62131,1.65892,1.74362,1.71931,1.62734,1.75062,1.66466,1.82057,1.71065
layers16_dim960_epochs1,1.82345,1.79685,1.81398,1.78986,1.73664,1.62249,1.78801,1.62803,1.72513,1.81593
layers16_dim960_epochs2,1.39609,1.67755,1.57228,1.67571,1.61649,1.62529,1.62941,1.61551,1.78513,1.42241
layers16_dim960_epochs3,1.59667,1.53234,1.40187,1.53524,1.67048,1.72129,1.68039,1.55708,1.68337,1.53215
layers16_dim960_epochs4,1.57754,1.49106,1.51544,1.63012,1.56860,1.49787,1.62372,1.52116,1.68803,1.56811
layers24_dim576_epochs1,1.88706,1.86154,1.87828,1.85472,1.80275,1.69941,1.85276,1.70448,1.78482,1.87782
layers24_dim576_epochs2,1.47815,1.75632,1.64797,1.75218,1.69551,1.70384,1.70780,1.69376,1.85507,1.50382
layers24_dim576_epochs3,1.66392,1.61236,1.48811,1.62125,1.74747,1.79833,1.75320,1.64273,1.75968,1.61190
layers24_dim576_epochs4,1.63744,1.57006,1.60223,1.69706,1.66030,1.57632,1.69996,1.60803,1.76717,1.65450
layers24_dim960_epochs1,1.80050,1.77401,1.79066,1.76616,1.71401,1.59006,1.76437,1.59626,1.70309,1.79300
layers24_dim960_epochs2,1.34645,1.63352,1.52935,1.63214,1.57249,1.57943,1.58426,1.57168,1.74815,1.37278
layers24_dim960_epochs3,1.56104,1.48516,1.34967,1.48539,1.62564,1.67852,1.64223,1.50670,1.64042,1.48548
layers24_dim960_epochs4,1.54541,1.44457,1.46454,1.59368,1.51215,1.45193,1.57993,1.47043,1.64154,1.51806
layers32_dim576_epochs1,1.87116,1.84508,1.86181,1.83811,1.78589,1.67740,1.83608,1.68312,1.76842,1.86173
layers32_dim576_epochs2,1.45086,1.73281,1.62585,1.72830,1.67164,1.67774,1.68187,1.67009,1.83516,1.47707
layers32_dim576_epochs3,1.63963,1.58334,1.45620,1.58903,1.71748,1.76941,1.72733,1.61022,1.73053,1.58299
layers32_dim576_epochs4,1.61436,1.53945,1.56963,1.67187,1.62544,1.54632,1.67102,1.57522,1.73686,1.62194
layers32_dim960_epochs1,1.78617,1.75911,1.77619,1.75111,1.69854,1.56768,1.74904,1.57378,1.68814,1.77888
layers32_dim960_epochs2,1.31938,1.60965,1.50840,1.60982,1.55044,1.55477,1.55979,1.54973,1.73109,1.34643
layers32_dim960_epochs3,1.54194,1.45910,1.31966,1.45738,1.60038,1.65356,1.62110,1.47830,1.61614,1.45961
layers32_dim960_epochs4,1.52535,1.41307,1.42948,1.56999,1.47375,1.42080,1.55035,1.43528,1.61029,1.48386
